id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4505294011790754,J2dIJ7vR8,【#60秒看导盲犬出生到毕业#】它们温顺、听话，努力工作，它们不是普通的狗狗，是视障人士的“第二双眼睛”。请多一分理解和接纳。央视网快看的微博视频 ,,,"http://locallimit.us.sinaimg.cn/8T3NlZcLlx07CSPwIO9q01041200p5KQ0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1589689655&ssig=VUO5nlw7qg&KID=unistore,video",,2020-05-16,微博 weibo.com,50052,2665,8529,60秒看导盲犬出生到毕业,
4505291523866336,J2dEIgdOg,【#国家大剧院繁花初现音乐会#来了！】#国家大剧院云赏乐系列#声如夏花音乐会第2场“繁花初现”，中国国家交响乐团首席指挥李心草与国家大剧院管弦乐团联合演绎布里顿《简易交响曲》、普罗科菲耶夫《D大调第一交响曲“古典”》、勋伯格《升华之夜》。戳↓@人民日报 带你一起聆听！ 人民日报的微博视频 .,,,"http://f.video.weibocdn.com/NyRyfqxmlx07DjRpnmxW0104120oasnD0E090.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1589689648&ssig=0CSKowErqa&KID=unistore,video",,2020-05-16,微博网页版,3693,1032,548,"国家大剧院繁花初现音乐会,国家大剧院云赏乐系列",人民日报
4505286997696027,J2dxpwi5t,【#福州冰雹#，#福州发布暴雨红色预警#】5月16日，福州市中心再度出现暴雨冰雹天气。@福州气象 5月16日19时00分变更发布暴雨红色预警信号：目前福州市区的13个乡镇（街）降雨量超过50毫米，最大为新店镇90.7毫米。未来3小时，鼓楼、仓山、台江、晋安南部、马尾的部分乡镇（街）降雨量20~40毫米，局部超过50毫米。提醒注意防范！沸点视频的微博视频,,,"http://f.video.weibocdn.com/002xK1gTgx07DjH6L0of010412009BBD0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1589689634&ssig=2rKXxGF%2BJc&KID=unistore,video",,2020-05-16,微博 weibo.com,3283,723,512,"福州冰雹,福州发布暴雨红色预警",福州气象
4505271122710792,J2d7Obncs,【#特朗普这回说漏嘴了#：1月11日已开始研发新冠疫苗】当地时间15日，美国总统特朗普在白宫表示，美国于1月11日已经开始研发新冠病毒疫苗。特朗普的话音刚落，引起国内外网友质疑：毒株是从哪里来的？美国是不是早就了解了新冠病毒的情况？这也充分证明，1月11日前新型冠状病毒已在美国流行，特朗普和替他帮腔的部分美国政客与媒体在说谎。据报道，中国于1月12日向世界卫生组织分享了新型冠状病毒基因组序列信息。  人民日报的微博视频 实锤！特朗普终究还是说漏嘴了,,,"http://f.video.weibocdn.com/Zc6hTmkalx07DjFYmH8I010412005Ao80E010.mp4?label=mp4_hd&template=480x844.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1589689649&ssig=V7XsTbZC12&KID=unistore,video",,2020-05-16,微博视频,903310,28716,33068,特朗普这回说漏嘴了,
4505265929680587,J2cZqECmv,【#雅西高速客车侧翻事故已致6人死亡#】据@雅攀高速交警：2020年5月16日12时36分许，在京昆高速公路雅西段2052+800km处（西昌至成都方向，雅安市石棉县境内），遂宁富临运业公司川J28129大客车（核载39人，实载36人）与中央护栏碰撞后侧翻，造成2人现场抢救无效死亡、4人送医院后抢救无效死亡、20人受伤（其中3人伤势较重）。目前，正在全力抢救医治所有伤员，事故在进一步调查处理中。青流视频的微博视频,,https://wx1.sinaimg.cn/large/a716fd45ly1geuh38xexyj20u01hekjl.jpg,"http://f.video.weibocdn.com/LFt8hGgIlx07DjIp1boY01041200a1Wh0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1589689641&ssig=1BHRHTUrJv&KID=unistore,video",,2020-05-16,微博 weibo.com,1285,438,214,雅西高速客车侧翻事故已致6人死亡,雅攀高速交警
4505262491303493,J2cTT5t65,【#孙春兰赴吉林市指导防疫工作#】中共中央政治局委员、国务院副总理孙春兰13日晚从黑龙江赶赴吉林，调研指导疫情防控工作。针对吉林近期发生的聚集性疫情，调研组指导督促吉林市建立扁平化高效的指挥体系，清晰思路、明确任务，加快排查、隔离、收治工作。指导制定流行病学调查技术规范，培训100多名专业技术人员，对市、区开展全面、深入的流调，运用大数据等技术手段，尽快甄别排查传染源头，追踪密切接触者，做到应隔尽隔。调派移动P3实验室，迅速提升核酸检测能力，扩大人群检测筛查范围，优先做好在院患者和密切接触者的检测，对入境人员、参与入境转运人员等重点人群做到应检尽检，落实“四早”要求。孙春兰在吉林调研时强调 再排查、再加固、再落实 坚决防止疫情新燃点,,https://wx4.sinaimg.cn/large/a716fd45ly1geufcxe7rjj20ob0obk0y.jpg,,,2020-05-16,微博 weibo.com,16783,1680,3485,孙春兰赴吉林市指导防疫工作,
4505260909811090,J2cRkFajo,【暖！#海豚搁浅获救放生后回游三次#】近日，在浙江舟山东极岛，一只小海豚搁浅在沙滩后被凌先生发现，将它放生归海。凌先生称，小海豚两次放生后都又游了回来，第三次将海豚抱远一点，放出去后“又游回来一次，转了个头，又到我这边，再转身就游回去了”。网友：小海豚聪明又通人性，获救不忘谢恩。时间视频的微博视频,,,"http://f.video.weibocdn.com/y2Loxxxglx07DjxBt9Wg01041200xY6q0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1589689609&ssig=YKVXc%2FcMuy&KID=unistore,video",,2020-05-16,微博 weibo.com,12899,645,732,海豚搁浅获救放生后回游三次,
4505251954704478,J2cCTjJQG,【最新数据：#全球新冠肺炎超451万例#】截至北京时间5月16日16时，215个国家和地区累计确诊4515561例，“钻石公主”号邮轮712例，全球新冠肺炎累计死亡307543例。其中，#美国新冠肺炎病例超144万#。转发关注#新冠肺炎疫情全球走势#↓↓ ,,https://wx3.sinaimg.cn/large/a716fd45ly1geue5fhr1yj20u02dk1kz.jpg,,,2020-05-16,微博 weibo.com,2090,451,451,"全球新冠肺炎超451万例,美国新冠肺炎病例超144万,新冠肺炎疫情全球走势",
4505244073083375,J2cqbcW7R,【刚刚，#珠峰高程测量队再次出发冲顶#！】5月16日，2020珠峰高程测量登山队经过休整后，在珠峰大本营召开动员大会，#珠峰高程测量登山队5月22日攻顶珠峰#。中国登山队队长王勇峰表示，根据最新天气预报综合分析，21日、22日山上风会变小，天气较好。登山队决定，5月22日为攻顶日，5月21日修路队将会把路线打通。攻顶队员包括此次登山队队长次落、攀登队长袁复栋、攀登教练李富庆、5名高山向导以及一至两名测绘科技工作者。（人民日报记者谷业凯 袁泉）,,"https://wx4.sinaimg.cn/large/a716fd45ly1geud80hl36j20u00ezjud.jpg,https://wx4.sinaimg.cn/large/a716fd45ly1geud846f0ij20u00gtwh4.jpg",,,2020-05-16,微博 weibo.com,4241,608,503,"珠峰高程测量队再次出发冲顶,珠峰高程测量登山队5月22日攻顶珠峰",
4505242958192046,J2conyn7M,【#记者爬天梯报道悬崖村搬迁吓哭#，好笑又心疼】5月13日，四川广播电视台记者前往四川凉山“悬崖村”采访。下到山脚，刚刚征服了2556级钢梯的90后记者高慧玲嚎啕大哭。2个多小时前，她还在悬崖村钢梯上完成了一次标准的“出镜”报道，表情镇定，神态自若。网友：心疼记者妹妹，但忍不住笑了，祝福村民有个新的开始！四川观察的微博视频,,,"http://f.video.weibocdn.com/002TYO8Zgx07DinzGB0z01041200hLix0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1589689657&ssig=Q6tXGNh6i9&KID=unistore,video",,2020-05-16,微博 weibo.com,7449,682,569,记者爬天梯报道悬崖村搬迁吓哭,
4505232972154865,J2c8h92zT,【国家卫健委：#我国核酸检测能力已达每日150万份#】国家卫生健康委医政医管局监察专员郭燕红介绍，截至目前，每天核酸检测能力可达到150万份。随着复工复产还要进一步提高核酸检测能力。下一步一方面要加强二级以上医疗机构实验室建设，开展核酸检测；生物安全管理和实验室管理、医务人员培训上也要同步加强。 人民日报的微博视频,,,"http://f.video.weibocdn.com/pV0Mjrf7lx07Djvz4s48010412005mDJ0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1d826f6f1a11607b0eef762fee9b15cd&Expires=1589689657&ssig=dF%2FHDLhSnd&KID=unistore,video",,2020-05-16,微博云剪,35794,2682,2139,我国核酸检测能力已达每日150万份,
4505230971153363,J2c534Q2D,【#吉林市关停个体诊所和门诊部#】16日下午，吉林市发布关停所有个体诊所和门诊部的公告：从2020年5月17日0时起，吉林市所有个体诊所、门诊部暂停营业，不得开展诊疗活动，有就诊需求的群众请到各相关医疗机构就诊；凡是发热病人一律到发热门诊就诊。网页链接 ,,https://wx3.sinaimg.cn/large/a716fd45ly1geud269iq5j211e0u0n9p.jpg,,,2020-05-16,微博 weibo.com,3272,517,291,吉林市关停个体诊所和门诊部,
4505225601832365,J2bWo7GGh,【国家卫健委：#5月新增本土确诊多来自聚集性疫情#】 国家卫生健康委新闻发言人、宣传司副司长米锋透露，#5月上半月全国共新增本土确诊39例#，无症状194例，比四月下半月下降46%和62%。但新增本土确诊多来自聚集性疫情，多地发现无症状感染者。 人民日报的微博视频 ,,,"http://f.video.weibocdn.com/PUIc8bTolx07Djtynrdu010412009LFx0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=721584770189073627c6ee9d880087b3&Expires=1589689582&ssig=n0%2FBHLmn4%2F&KID=unistore,video",,2020-05-16,微博云剪,3030,470,328,"5月新增本土确诊多来自聚集性疫情,5月上半月全国共新增本土确诊39例",
